timestamp,open,high,low,close,volume
2023-06-15,0.06033,0.06195,0.05972,0.06149,411575268
2023-06-16,0.06149,0.06281,0.06061,0.06214,531474992
2023-06-17,0.06214,0.06296,0.06168,0.06215,281101805
2023-06-18,0.06215,0.06395,0.06101,0.06206,615739236
2023-06-19,0.06206,0.06281,0.06141,0.06239,239324286
2023-06-20,0.06239,0.06313,0.06067,0.06313,364210725
2023-06-21,0.06313,0.06675,0.06279,0.06558,802456584
2023-06-22,0.06558,0.06936,0.06482,0.0655,1209703839
2023-06-23,0.0655,0.07011,0.06514,0.06819,1011612552
2023-06-24,0.06819,0.06837,0.06496,0.06666,743425663
2023-06-25,0.06666,0.068,0.06626,0.06666,434924817
2023-06-26,0.06666,0.06677,0.063,0.0647,736332426
2023-06-27,0.0647,0.06578,0.06416,0.06554,533383950
2023-06-28,0.06554,0.06594,0.05962,0.0625,1013614560
2023-06-29,0.0625,0.06404,0.06234,0.06339,417533338
2023-06-30,0.06339,0.06696,0.06076,0.06644,1609320234
2023-07-01,0.06644,0.07143,0.06634,0.06852,1684407422
2023-07-02,0.06852,0.06918,0.06584,0.06801,1274771900
2023-07-03,0.06801,0.06877,0.06724,0.06842,661440640
2023-07-04,0.06842,0.07186,0.06761,0.06888,1569475396
2023-07-05,0.06888,0.06931,0.06549,0.06696,951531362
2023-07-06,0.06696,0.06855,0.06456,0.06479,802262232
2023-07-07,0.06479,0.06583,0.06399,0.06536,537193265
2023-07-08,0.06536,0.06603,0.06466,0.06567,278023475
2023-07-09,0.06567,0.06633,0.06508,0.06534,285364578
2023-07-10,0.06534,0.06617,0.06314,0.06521,711646014
2023-07-11,0.06521,0.06544,0.06435,0.06526,262706934
2023-07-12,0.06526,0.06569,0.06359,0.06501,389681283
2023-07-13,0.06501,0.0717,0.0645,0.07042,1827577868
2023-07-14,0.07042,0.07323,0.06597,0.06846,2169781980
2023-07-15,0.06846,0.07518,0.06765,0.07195,3032655091
2023-07-16,0.07195,0.07221,0.06882,0.06948,1388727907
2023-07-17,0.06948,0.07323,0.06744,0.0698,1491223431
2023-07-18,0.0698,0.07028,0.06684,0.06861,711360439
2023-07-19,0.06861,0.07235,0.06821,0.07001,1475510689
2023-07-20,0.07001,0.07385,0.06925,0.07059,2002680689
2023-07-21,0.07059,0.07685,0.07023,0.0732,3116018386
2023-07-22,0.0732,0.07329,0.06943,0.07044,1348842096
2023-07-23,0.07044,0.07294,0.06991,0.07177,1047142687
2023-07-24,0.07177,0.07798,0.07013,0.0742,8278479650
2023-07-25,0.0742,0.08389,0.07358,0.08184,7984430884
2023-07-26,0.08184,0.08229,0.07638,0.07793,5576580961
2023-07-27,0.07793,0.07996,0.07658,0.07759,2822127275
2023-07-28,0.07759,0.07789,0.07577,0.07715,1767894688
2023-07-29,0.07715,0.08253,0.07669,0.08021,2514651676
2023-07-30,0.08021,0.0806,0.07603,0.07799,2170758770
2023-07-31,0.07799,0.07978,0.07667,0.07783,1619315114
2023-08-01,0.07783,0.07823,0.07504,0.0781,1705435120
2023-08-02,0.0781,0.0783,0.07365,0.07418,2039010317
2023-08-03,0.07418,0.07498,0.07226,0.07354,1637309006
2023-08-04,0.07354,0.07488,0.07238,0.07342,1451633052
2023-08-05,0.07342,0.07707,0.07287,0.07568,1982162035
2023-08-06,0.07568,0.07648,0.07401,0.07425,1243391866
2023-08-07,0.07425,0.07566,0.07121,0.07354,1586532224
2023-08-08,0.07354,0.07547,0.07316,0.07493,1141374527
2023-08-09,0.07493,0.07623,0.07414,0.07541,1282865076
2023-08-10,0.07541,0.07693,0.07509,0.07587,1583034898
2023-08-11,0.07587,0.07612,0.07477,0.07573,917098710
2023-08-12,0.07573,0.07745,0.07557,0.07668,996642898
2023-08-13,0.07668,0.07687,0.07421,0.07477,970745999
2023-08-14,0.07477,0.07713,0.07358,0.07467,1890470631
2023-08-15,0.07467,0.07497,0.0676,0.07089,2167912310
2023-08-16,0.07089,0.07123,0.06587,0.06718,1811713792
2023-08-17,0.06718,0.06838,0.05429,0.06099,3236866845
2023-08-18,0.06099,0.06383,0.05981,0.0632,1473022887
2023-08-19,0.0632,0.06446,0.06305,0.06373,681459777
2023-08-20,0.06373,0.06473,0.06331,0.06379,473390415
2023-08-21,0.06379,0.06406,0.06021,0.06247,910227657
2023-08-22,0.06247,0.06324,0.06021,0.06254,1088660671
2023-08-23,0.06254,0.06547,0.06242,0.06376,1178589616
2023-08-24,0.06376,0.06402,0.06173,0.06303,665747841
2023-08-25,0.06303,0.06311,0.06162,0.06308,607488258
2023-08-26,0.06308,0.06336,0.06257,0.06286,227034206
2023-08-27,0.06286,0.06375,0.06266,0.06314,308543790
2023-08-28,0.06314,0.06363,0.06183,0.06342,516584342
2023-08-29,0.06342,0.06857,0.06239,0.06636,2989045071
2023-08-30,0.06636,0.06643,0.06431,0.06584,822883574
2023-08-31,0.06584,0.06698,0.06271,0.06373,1579228173
2023-09-01,0.06373,0.0642,0.06222,0.06384,809929049
2023-09-02,0.06384,0.06496,0.06251,0.06345,773653393
2023-09-03,0.06345,0.06372,0.06268,0.06314,236977807
2023-09-04,0.06314,0.0638,0.06201,0.06322,433201924
2023-09-05,0.06322,0.06433,0.06283,0.064,582664428
2023-09-06,0.064,0.06459,0.06241,0.06359,693050956
2023-09-07,0.06359,0.0638,0.06275,0.06362,440530928
2023-09-08,0.06362,0.06399,0.06231,0.06366,522334006
2023-09-09,0.06366,0.06387,0.0631,0.06336,278325159
2023-09-10,0.06336,0.06336,0.05912,0.06127,1037699207
2023-09-11,0.06127,0.06197,0.05915,0.06044,1296877761
2023-09-12,0.06044,0.06241,0.06038,0.06087,874311489
2023-09-13,0.06087,0.06176,0.06046,0.06122,691131130
2023-09-14,0.06122,0.0625,0.06104,0.06205,596189426
2023-09-15,0.06205,0.06291,0.06133,0.06246,458638303
2023-09-16,0.06246,0.06294,0.06169,0.06209,449429388
2023-09-17,0.06209,0.0625,0.06089,0.06142,430373660
2023-09-18,0.06142,0.06277,0.06089,0.06196,600498420
2023-09-19,0.06196,0.06319,0.06183,0.06265,455662249
2023-09-20,0.06265,0.06299,0.06137,0.06259,516341292
2023-09-21,0.06259,0.06345,0.06098,0.06128,756017805
2023-09-22,0.06128,0.06184,0.06052,0.06149,330650599
2023-09-23,0.06149,0.06196,0.06122,0.06149,330479016
2023-09-24,0.06149,0.06173,0.06021,0.06064,375396971
2023-09-25,0.06064,0.06119,0.06002,0.06091,356537404
2023-09-26,0.06091,0.06111,0.0592,0.0606,414549909
2023-09-27,0.0606,0.06136,0.06012,0.06049,341659704
2023-09-28,0.06049,0.06164,0.06036,0.06146,424983799
2023-09-29,0.06146,0.06249,0.06127,0.0621,437022522
2023-09-30,0.0621,0.06267,0.06169,0.06205,353325120
2023-10-01,0.06205,0.06356,0.06163,0.06317,557508086
2023-10-02,0.06317,0.06415,0.06068,0.06198,1089580023
2023-10-03,0.06198,0.06226,0.06104,0.06134,408156917
2023-10-04,0.06134,0.06153,0.05985,0.0614,477015562
2023-10-05,0.0614,0.06161,0.06053,0.06084,300770718
2023-10-06,0.06084,0.06155,0.06066,0.06135,249101263
2023-10-07,0.06135,0.06165,0.06102,0.0614,170254563
2023-10-08,0.0614,0.06156,0.0606,0.06093,206715921
2023-10-09,0.06093,0.06096,0.05632,0.0587,944524254
2023-10-10,0.0587,0.05919,0.0584,0.0591,447595446
2023-10-11,0.0591,0.05945,0.05761,0.05848,699604158
2023-10-12,0.05848,0.05848,0.05715,0.05785,550168875
2023-10-13,0.05785,0.05906,0.05774,0.05836,530629992
2023-10-14,0.05836,0.05997,0.05833,0.05981,477025414
2023-10-15,0.05981,0.05983,0.05895,0.05929,323890240
2023-10-16,0.05929,0.06178,0.05898,0.05998,1132660854
2023-10-17,0.05998,0.06014,0.05806,0.05899,561528973
2023-10-18,0.05899,0.05932,0.05823,0.05857,548192339
2023-10-19,0.05857,0.05891,0.05734,0.05883,476060457
2023-10-20,0.05883,0.06048,0.0586,0.05988,484579806
2023-10-21,0.05988,0.06146,0.05938,0.06118,521615767
2023-10-22,0.06118,0.06173,0.05974,0.06168,665446462
2023-10-23,0.06168,0.068,0.0613,0.06749,3253403208
2023-10-24,0.06749,0.07014,0.06409,0.06664,2606321753
2023-10-25,0.06664,0.06989,0.06453,0.06836,2630939944
2023-10-26,0.06836,0.07519,0.06781,0.0719,4433323249
2023-10-27,0.0719,0.07249,0.06705,0.06778,2106091163
2023-10-28,0.06778,0.06993,0.0675,0.06906,1379830216
2023-10-29,0.06906,0.07028,0.06717,0.06939,1097205256
2023-10-30,0.06939,0.07047,0.06755,0.06965,1477129556
2023-10-31,0.06965,0.07091,0.06505,0.06827,2098391703
2023-11-01,0.06827,0.0698,0.06561,0.06901,1637344120
2023-11-02,0.06901,0.071,0.06658,0.06795,1641180352
2023-11-03,0.06795,0.06829,0.06619,0.06813,701701631
2023-11-04,0.06813,0.06937,0.06794,0.06915,650074881
2023-11-05,0.06915,0.0718,0.06885,0.07115,1807606014
2023-11-06,0.07115,0.07664,0.07029,0.07647,2930968425
2023-11-07,0.07647,0.07658,0.07136,0.07343,2482657916
2023-11-08,0.07343,0.07742,0.07275,0.0754,2024789375
2023-11-09,0.0754,0.07799,0.06345,0.07362,3767606558
2023-11-10,0.07362,0.0757,0.07236,0.07546,1564079935
2023-11-11,0.07546,0.08203,0.07442,0.07852,3736770649
2023-11-12,0.07852,0.08058,0.07498,0.07803,1822839387
2023-11-13,0.07803,0.07966,0.07321,0.07456,1989035873
2023-11-14,0.07456,0.07566,0.0685,0.07247,1723913004
2023-11-15,0.07247,0.07663,0.07231,0.07629,970567828
2023-11-16,0.07629,0.0836,0.0759,0.07951,5032724396
2023-11-17,0.07951,0.0877,0.07911,0.08648,7038926297
2023-11-18,0.08648,0.08672,0.07907,0.08035,4883741380
2023-11-19,0.08035,0.08072,0.07733,0.08052,2562867249
2023-11-20,0.08052,0.08228,0.07621,0.07771,2652212684
2023-11-21,0.07771,0.0788,0.0705,0.07179,3003936891
2023-11-22,0.07179,0.07659,0.07152,0.07572,1483574962
2023-11-23,0.07572,0.07645,0.07498,0.0762,807361137
2023-11-24,0.0762,0.07866,0.07605,0.07818,989053020
2023-11-25,0.07818,0.07917,0.07747,0.07893,739474634
2023-11-26,0.07893,0.07901,0.07534,0.07866,887888701
2023-11-27,0.07866,0.0816,0.0767,0.07889,2205576686
2023-11-28,0.07889,0.08124,0.07664,0.08089,1935388671
2023-11-29,0.08089,0.0832,0.07955,0.08053,1819656019
2023-11-30,0.08053,0.0845,0.08045,0.08348,1908964971
2023-12-01,0.08348,0.08517,0.08228,0.08387,1526974617
2023-12-02,0.08387,0.08674,0.08325,0.08629,1296681455
2023-12-03,0.08629,0.0875,0.08363,0.0858,1414819455
